Monomer: J_rc, Start: 0, End: 214, Identity Score: 86, Match Percentage: 69.37%, Matches: 154, Total Length: 222
Monomer: B_rc, Start: 78989, End: 79170, Identity Score: 94, Match Percentage: 73.27%, Matches: 148, Total Length: 202
Monomer: A_rc, Start: 79171, End: 79329, Identity Score: 117, Match Percentage: 83.43%, Matches: 146, Total Length: 175
Monomer: L_rc, Start: 79330, End: 79495, Identity Score: 142, Match Percentage: 90.80%, Matches: 158, Total Length: 174
Monomer: K_rc, Start: 79496, End: 79669, Identity Score: 145, Match Percentage: 90.96%, Matches: 161, Total Length: 177
Monomer: J_rc, Start: 79670, End: 79837, Identity Score: 152, Match Percentage: 94.19%, Matches: 162, Total Length: 172
Monomer: I_rc, Start: 79838, End: 80008, Identity Score: 146, Match Percentage: 91.48%, Matches: 161, Total Length: 176
Monomer: H_rc, Start: 80009, End: 80178, Identity Score: 162, Match Percentage: 97.09%, Matches: 167, Total Length: 172
Monomer: G_rc, Start: 80179, End: 80344, Identity Score: 138, Match Percentage: 89.66%, Matches: 156, Total Length: 174
Monomer: F_rc, Start: 80345, End: 80517, Identity Score: 148, Match Percentage: 92.05%, Matches: 162, Total Length: 176
Monomer: E_rc, Start: 80518, End: 80686, Identity Score: 150, Match Percentage: 93.60%, Matches: 161, Total Length: 172
Monomer: D_rc, Start: 80687, End: 80857, Identity Score: 159, Match Percentage: 95.95%, Matches: 166, Total Length: 173
Monomer: C_rc, Start: 80858, End: 81029, Identity Score: 158, Match Percentage: 95.40%, Matches: 166, Total Length: 174
Monomer: B_rc, Start: 81030, End: 81222, Identity Score: 157, Match Percentage: 89.85%, Matches: 177, Total Length: 197
Monomer: A_rc, Start: 81223, End: 81396, Identity Score: 151, Match Percentage: 92.66%, Matches: 164, Total Length: 177
Monomer: L_rc, Start: 81397, End: 81563, Identity Score: 162, Match Percentage: 97.65%, Matches: 166, Total Length: 170
Monomer: K_rc, Start: 81564, End: 81735, Identity Score: 159, Match Percentage: 95.43%, Matches: 167, Total Length: 175
Monomer: J_rc, Start: 81736, End: 81899, Identity Score: 137, Match Percentage: 89.60%, Matches: 155, Total Length: 173
Monomer: I_rc, Start: 81900, End: 82067, Identity Score: 149, Match Percentage: 93.06%, Matches: 161, Total Length: 173
Monomer: H_rc, Start: 82068, End: 82241, Identity Score: 159, Match Percentage: 94.92%, Matches: 168, Total Length: 177
Monomer: G_rc, Start: 82242, End: 82414, Identity Score: 160, Match Percentage: 95.98%, Matches: 167, Total Length: 174
Monomer: F_rc, Start: 82415, End: 82584, Identity Score: 165, Match Percentage: 98.25%, Matches: 168, Total Length: 171
Monomer: E_rc, Start: 82585, End: 82758, Identity Score: 148, Match Percentage: 91.57%, Matches: 163, Total Length: 178
Monomer: D_rc, Start: 82759, End: 82926, Identity Score: 161, Match Percentage: 97.08%, Matches: 166, Total Length: 171
Monomer: C_rc, Start: 82927, End: 83094, Identity Score: 141, Match Percentage: 90.29%, Matches: 158, Total Length: 175
Monomer: B_rc, Start: 83095, End: 83283, Identity Score: 156, Match Percentage: 90.21%, Matches: 175, Total Length: 194
Monomer: A_rc, Start: 83284, End: 83450, Identity Score: 153, Match Percentage: 94.22%, Matches: 163, Total Length: 173
Monomer: L_rc, Start: 83451, End: 83626, Identity Score: 140, Match Percentage: 88.89%, Matches: 160, Total Length: 180
Monomer: K_rc, Start: 83627, End: 83799, Identity Score: 157, Match Percentage: 94.86%, Matches: 166, Total Length: 175
Monomer: J_rc, Start: 83800, End: 83966, Identity Score: 155, Match Percentage: 95.32%, Matches: 163, Total Length: 171
Monomer: I_rc, Start: 83967, End: 84136, Identity Score: 155, Match Percentage: 94.80%, Matches: 164, Total Length: 173
Monomer: H_rc, Start: 84137, End: 84311, Identity Score: 151, Match Percentage: 92.66%, Matches: 164, Total Length: 177
Monomer: G_rc, Start: 84312, End: 84481, Identity Score: 160, Match Percentage: 96.51%, Matches: 166, Total Length: 172
Monomer: F_rc, Start: 84482, End: 84649, Identity Score: 142, Match Percentage: 90.80%, Matches: 158, Total Length: 174
Monomer: E_rc, Start: 84650, End: 84817, Identity Score: 157, Match Percentage: 95.91%, Matches: 164, Total Length: 171
Monomer: D_rc, Start: 84818, End: 84993, Identity Score: 139, Match Percentage: 88.40%, Matches: 160, Total Length: 181
Monomer: C_rc, Start: 84994, End: 85162, Identity Score: 152, Match Percentage: 93.68%, Matches: 163, Total Length: 174
Monomer: B_rc, Start: 85163, End: 85343, Identity Score: 160, Match Percentage: 92.11%, Matches: 175, Total Length: 190
Monomer: A_rc, Start: 85344, End: 85510, Identity Score: 150, Match Percentage: 93.60%, Matches: 161, Total Length: 172
Monomer: L_rc, Start: 85511, End: 85679, Identity Score: 134, Match Percentage: 87.64%, Matches: 156, Total Length: 178
Monomer: K_rc, Start: 85680, End: 85854, Identity Score: 159, Match Percentage: 95.43%, Matches: 167, Total Length: 175
Monomer: J_rc, Start: 85855, End: 86024, Identity Score: 156, Match Percentage: 95.35%, Matches: 164, Total Length: 172
Monomer: I_rc, Start: 86025, End: 86193, Identity Score: 161, Match Percentage: 97.08%, Matches: 166, Total Length: 171
Monomer: H_rc, Start: 86194, End: 86362, Identity Score: 152, Match Percentage: 93.68%, Matches: 163, Total Length: 174
Monomer: G_rc, Start: 86363, End: 86531, Identity Score: 163, Match Percentage: 97.66%, Matches: 167, Total Length: 171
Monomer: F_rc, Start: 86532, End: 86706, Identity Score: 145, Match Percentage: 90.96%, Matches: 161, Total Length: 177
Monomer: E_rc, Start: 86707, End: 86868, Identity Score: 150, Match Percentage: 94.64%, Matches: 159, Total Length: 168
Monomer: D_rc, Start: 86869, End: 87039, Identity Score: 154, Match Percentage: 94.25%, Matches: 164, Total Length: 174
Monomer: C_rc, Start: 87040, End: 87214, Identity Score: 156, Match Percentage: 93.82%, Matches: 167, Total Length: 178
Monomer: B_rc, Start: 87215, End: 87398, Identity Score: 150, Match Percentage: 88.66%, Matches: 172, Total Length: 194
Monomer: A_rc, Start: 87399, End: 87566, Identity Score: 153, Match Percentage: 94.22%, Matches: 163, Total Length: 173
Monomer: L_rc, Start: 87567, End: 87733, Identity Score: 155, Match Percentage: 95.86%, Matches: 162, Total Length: 169
Monomer: K_rc, Start: 87734, End: 87909, Identity Score: 159, Match Percentage: 94.92%, Matches: 168, Total Length: 177
Monomer: J_rc, Start: 87910, End: 88080, Identity Score: 159, Match Percentage: 96.49%, Matches: 165, Total Length: 171
Monomer: I_rc, Start: 88081, End: 88253, Identity Score: 148, Match Percentage: 91.57%, Matches: 163, Total Length: 178
Monomer: H_rc, Start: 88254, End: 88419, Identity Score: 149, Match Percentage: 93.06%, Matches: 161, Total Length: 173
Monomer: G_rc, Start: 88420, End: 88585, Identity Score: 162, Match Percentage: 97.65%, Matches: 166, Total Length: 170
Monomer: F_rc, Start: 88586, End: 88755, Identity Score: 141, Match Percentage: 89.83%, Matches: 159, Total Length: 177
Monomer: E_rc, Start: 88756, End: 88926, Identity Score: 152, Match Percentage: 94.19%, Matches: 162, Total Length: 172
Monomer: D_rc, Start: 88927, End: 89096, Identity Score: 153, Match Percentage: 94.22%, Matches: 163, Total Length: 173
Monomer: C_rc, Start: 89097, End: 89267, Identity Score: 155, Match Percentage: 94.29%, Matches: 165, Total Length: 175
Monomer: B_rc, Start: 89268, End: 89453, Identity Score: 155, Match Percentage: 90.16%, Matches: 174, Total Length: 193
Monomer: A_rc, Start: 89454, End: 89631, Identity Score: 153, Match Percentage: 92.74%, Matches: 166, Total Length: 179
Monomer: L_rc, Start: 89632, End: 89796, Identity Score: 130, Match Percentage: 86.93%, Matches: 153, Total Length: 176
Monomer: K_rc, Start: 89797, End: 89961, Identity Score: 153, Match Percentage: 94.74%, Matches: 162, Total Length: 171
Monomer: J_rc, Start: 89962, End: 90127, Identity Score: 153, Match Percentage: 94.74%, Matches: 162, Total Length: 171
Monomer: I_rc, Start: 90128, End: 90298, Identity Score: 146, Match Percentage: 91.95%, Matches: 160, Total Length: 174
Monomer: H_rc, Start: 90299, End: 90475, Identity Score: 155, Match Percentage: 93.79%, Matches: 166, Total Length: 177
Monomer: G_rc, Start: 90476, End: 90650, Identity Score: 160, Match Percentage: 95.45%, Matches: 168, Total Length: 176
Monomer: F_rc, Start: 90651, End: 90823, Identity Score: 160, Match Percentage: 95.98%, Matches: 167, Total Length: 174
Monomer: E_rc, Start: 90824, End: 90993, Identity Score: 148, Match Percentage: 92.53%, Matches: 161, Total Length: 174
Monomer: D_rc, Start: 90994, End: 91165, Identity Score: 168, Match Percentage: 98.84%, Matches: 170, Total Length: 172
Monomer: C_rc, Start: 91166, End: 91336, Identity Score: 162, Match Percentage: 97.09%, Matches: 167, Total Length: 172
Monomer: B_rc, Start: 91337, End: 91519, Identity Score: 175, Match Percentage: 96.79%, Matches: 181, Total Length: 187
Monomer: A_rc, Start: 91520, End: 91688, Identity Score: 153, Match Percentage: 94.22%, Matches: 163, Total Length: 173
Monomer: L_rc, Start: 91689, End: 91863, Identity Score: 147, Match Percentage: 91.06%, Matches: 163, Total Length: 179
Monomer: K_rc, Start: 91864, End: 92033, Identity Score: 154, Match Percentage: 94.25%, Matches: 164, Total Length: 174
Monomer: J_rc, Start: 92034, End: 92198, Identity Score: 157, Match Percentage: 96.45%, Matches: 163, Total Length: 169
Monomer: I_rc, Start: 92199, End: 92367, Identity Score: 151, Match Percentage: 93.64%, Matches: 162, Total Length: 173
Monomer: H_rc, Start: 92368, End: 92534, Identity Score: 153, Match Percentage: 94.22%, Matches: 163, Total Length: 173
Monomer: G_rc, Start: 92535, End: 92698, Identity Score: 151, Match Percentage: 94.15%, Matches: 161, Total Length: 171
Monomer: F_rc, Start: 92699, End: 92867, Identity Score: 158, Match Percentage: 95.93%, Matches: 165, Total Length: 172
Monomer: E_rc, Start: 92868, End: 93035, Identity Score: 144, Match Percentage: 91.38%, Matches: 159, Total Length: 174
Monomer: D_rc, Start: 93036, End: 93203, Identity Score: 152, Match Percentage: 93.68%, Matches: 163, Total Length: 174
Monomer: C_rc, Start: 93204, End: 93379, Identity Score: 152, Match Percentage: 92.70%, Matches: 165, Total Length: 178
Monomer: B_rc, Start: 93380, End: 93570, Identity Score: 170, Match Percentage: 93.81%, Matches: 182, Total Length: 194
Monomer: A_rc, Start: 93571, End: 93742, Identity Score: 160, Match Percentage: 95.98%, Matches: 167, Total Length: 174
Monomer: L_rc, Start: 93743, End: 93907, Identity Score: 150, Match Percentage: 93.60%, Matches: 161, Total Length: 172
Monomer: K_rc, Start: 93908, End: 94073, Identity Score: 155, Match Percentage: 95.32%, Matches: 163, Total Length: 171
Monomer: J_rc, Start: 94074, End: 94248, Identity Score: 153, Match Percentage: 93.22%, Matches: 165, Total Length: 177
Monomer: I_rc, Start: 94249, End: 94421, Identity Score: 159, Match Percentage: 95.95%, Matches: 166, Total Length: 173
Monomer: H_rc, Start: 94422, End: 94588, Identity Score: 159, Match Percentage: 96.49%, Matches: 165, Total Length: 171
Monomer: G_rc, Start: 94589, End: 94759, Identity Score: 156, Match Percentage: 94.83%, Matches: 165, Total Length: 174
Monomer: F_rc, Start: 94760, End: 94870, Identity Score: 49, Match Percentage: 64.33%, Matches: 110, Total Length: 171
